District,Neighborhood,Population
Paris 1er Arrondissement,Saint-Germain l'Auxerrois,1401
Paris 1er Arrondissement,Les Halles,8869
Paris 1er Arrondissement,Palais Royal,3239
Paris 1er Arrondissement,Place Vendome,2742
Paris 2e Arrondissement,Gaillon,1456
Paris 2e Arrondissement,Vivienne,3046
Paris 2e Arrondissement,Mail,6383
Paris 2e Arrondissement,Bonne Nouvelle,9375
Paris 3e Arrondissement,Arts et Metiers,9722
Paris 3e Arrondissement,Enfants Rouges,8996
Paris 3e Arrondissement,Les Archives,8175
Paris 3e Arrondissement,Sainte-Avoye,7895
Paris 4e Arrondissement,Saint-Merri,6074
Paris 4e Arrondissement,Saint-Gervais,9668
Paris 4e Arrondissement,Arsenal,8718
Paris 4e Arrondissement,Notre Dame,3028
Paris 5e Arrondissement,Saint-Victor,11673
Paris 5e Arrondissement,Jardin des Plantes,17886
Paris 5e Arrondissement,Val de Grace,19668
Paris 5e Arrondissement,Sorbonne,9811
Paris 6e Arrondissement,Monnaie,5478
Paris 6e Arrondissement,Odeon,7939
Paris 6e Arrondissement,Notre Dame des Champs,22919
Paris 6e Arrondissement,Saint-Germain des Pres,4581
Paris 7e Arrondissement,Saint-Thomas d'Aquin,11026
Paris 7e Arrondissement,Invalides,5514
Paris 7e Arrondissement,Ecole Militaire,11810
Paris 7e Arrondissement,Gros Caillou,24162
Paris 8e Arrondissement,Champs Elysees,2776
Paris 8e Arrondissement,Faubourg du Roule,9305
Paris 8e Arrondissement,Madeleine,5746
Paris 8e Arrondissement,Europe,18610
Paris 9e Arrondissement,Saint-Georges,21342
Paris 9e Arrondissement,Chaussee d'Antin,4810
Paris 9e Arrondissement,Faubourg Montmartre,11254
Paris 9e Arrondissement,Rochechouart,22223
Paris 10e Arrondissement,Saint-Vincent de Paul,23547
Paris 10e Arrondissement,Porte Saint-Denis,16254
Paris 10e Arrondissement,Porte Saint-Martin,23071
Paris 10e Arrondissement,Hopital Saint-Louis,29060
Paris 11e Arrondissement,Folie Mericourt,31376
Paris 11e Arrondissement,Saint-Ambroise,32085
Paris 11e Arrondissement,Roquette,46429
Paris 11e Arrondissement,Sainte-Marguerite,37128
Paris 12e Arrondissement,Bel Air,35763
Paris 12e Arrondissement,Picpus,64043
Paris 12e Arrondissement,Bercy,14307
Paris 12e Arrondissement,Quinze Vingts,26135
Paris 13e Arrondissement,Salpetriere,18424
Paris 13e Arrondissement,Gare,75133
Paris 13e Arrondissement,Maison Blanche,67202
Paris 13e Arrondissement,Croulebarbe,20793
Paris 14e Arrondissement,Montparnasse,18711
Paris 14e Arrondissement,Parc de Montsouris,21256
Paris 14e Arrondissement,Petit Montrouge,37858
Paris 14e Arrondissement,Plaisance,59279
Paris 15e Arrondissement,Saint-Lambert,86656
Paris 15e Arrondissement,Necker,47396
Paris 15e Arrondissement,Grenelle,48020
Paris 15e Arrondissement,Javel,51253
Paris 16e Arrondissement,Auteuil,71581
Paris 16e Arrondissement,Muette,46561
Paris 16e Arrondissement,Porte Dauphine,26067
Paris 16e Arrondissement,Chaillot,20881
Paris 17e Arrondissement,Ternes,38576
Paris 17e Arrondissement,Plaine Monceau,41918
Paris 17e Arrondissement,Batignolles,42302
Paris 17e Arrondissement,Epinettes,45039
Paris 18e Arrondissement,Grandes Carrieres,71028
Paris 18e Arrondissement,Clignancourt,68873
Paris 18e Arrondissement,Goutte d'Or,30309
Paris 18e Arrondissement,Chapelle,24849
Paris 19e Arrondissement,Villette,55348
Paris 19e Arrondissement,Pont de Flandre,31753
Paris 19e Arrondissement,Amerique,57924
Paris 19e Arrondissement,Combat,41369
Paris 20e Arrondissement,Belleville,35605
Paris 20e Arrondissement,Saint-Fargeau,46320
Paris 20e Arrondissement,Pere Lachaise,46284
Paris 20e Arrondissement,Charonne,67395
